accent,gender,speaker,num_comparisons,mean_similarity,median_similarity,min_similarity,max_similarity,std_similarity
nwa_001,male,wxr002,378,0.9743016330653398,0.9775265455245972,0.9069811701774597,0.9944783449172974,0.013559597270389329
nwa_001,male,wxt001,325,0.9814154410362244,0.9837834239006042,0.9340059757232666,0.9972653388977051,0.010647907732113089
roi_001,female,axm001,231,0.9841332820070771,0.9856734871864319,0.9530066251754761,0.9959028959274292,0.007531921037361283
roi_001,female,cas001,210,0.9802418476059324,0.980636477470398,0.9596582651138306,0.9945147037506104,0.0069168964790512315
roi_001,female,cmd001,378,0.9759121371640099,0.9778131544589996,0.9406098127365112,0.9985561370849609,0.009736513325452095
roi_001,female,cnf001,120,0.9809695119659106,0.9825391173362732,0.9549422264099121,0.9963291883468628,0.009182395328527803
roi_001,female,hmm001,325,0.984496547809014,0.9856234788894653,0.957008421421051,0.9962987899780273,0.006666979396225184
roi_001,female,mgm001,190,0.9758527068715347,0.9778118431568146,0.9327698349952698,0.9951151609420776,0.011327270511368046
roi_001,female,mmd001,120,0.9706080173452695,0.9728524088859558,0.9289433360099792,0.993489682674408,0.012412920122256038
roi_001,female,smd001,153,0.9833725379183401,0.984521210193634,0.9480727314949036,0.9969589710235596,0.007661991491493897
roi_001,female,taq001,91,0.9786961320992354,0.9803321957588196,0.9440495371818542,0.9942349791526794,0.00912261299671664
roi_001,female,tot001,190,0.9797779647927535,0.9808809459209442,0.9506250619888306,0.9942552447319031,0.00843509317023505
roi_001,male,aor001,231,0.9724689554342459,0.9739530682563782,0.9272026419639587,0.9941608905792236,0.012820916835797704
roi_001,male,cpd001,153,0.9645880417886123,0.9713546633720398,0.8797928690910339,0.9948443174362183,0.020805882384045137
roi_001,male,djd001,120,0.9705439994732539,0.9709752202033997,0.9429631233215332,0.9929773807525635,0.011018295412491639
roi_001,male,gwd001,171,0.9726352235030012,0.975260853767395,0.9179176092147827,0.9937599897384644,0.013276269734262531
roi_001,male,ipd001,630,0.9631969135905069,0.9653470814228058,0.9052746891975403,0.9943068027496338,0.015478239297044843
roi_001,male,jas001,136,0.9791292442994959,0.9796690344810486,0.9611679315567017,0.9941126108169556,0.007286501050764513
roi_001,male,mtd001,253,0.9688695294583739,0.9701870679855347,0.9079745411872864,0.9968557357788086,0.01429881944479428
roi_001,male,pgd001,276,0.9713423753130264,0.9730575680732727,0.931812047958374,0.9937954545021057,0.01144222042653276
roi_001,male,rme001,78,0.9828538375023084,0.9840212464332581,0.9654365181922913,0.9939353466033936,0.00694167185065104
roi_001,male,whc001,136,0.9795200189246851,0.9821265041828156,0.9465765953063965,0.9942614436149597,0.00958336506226244
shl_001,female,ccm001,378,0.9694682334465955,0.9712851047515869,0.915709376335144,0.9946462512016296,0.013516916001895222
shl_001,female,ccs001,351,0.9770030119480231,0.978649377822876,0.9300562739372253,0.9952040314674377,0.010238720010809417
shl_001,female,dsf001,153,0.9792987303017011,0.9806963801383972,0.9542598128318787,0.9952896237373352,0.009001690906506427
shl_001,female,gxi001,253,0.9793606150762837,0.9806115031242371,0.9493955373764038,0.9941167831420898,0.007574848877390854
